sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,36,,良好,0.9,0.2,40,39,11,10,2,3.4,0.5,1.5,78,"2024/12/28 01:00:00",0.2,9,19,0,121.760056,25.129167,1
汐止,新北市,38,,良好,0.8,0.17,36,27,13,7,5,7.1,1.1,1.8,47,"2024/12/28 01:00:00",0.2,11,19,0,121.64081,25.06624,2
萬里,新北市,53,懸浮微粒,普通,0.4,0.17,42,44,35,8,1,2.6,0.7,7.6,24,"2024/12/28 01:00:00",0.1,11,53,0,121.689881,25.179667,3
新店,新北市,36,,良好,0.5,0.19,33,30,12,8,7,7.7,0.5,1.2,118,"2024/12/28 01:00:00",0.2,11,19,0,121.537778,24.977222,4
土城,新北市,31,,良好,1.1,0.25,33,32,13,8,8,9,0.5,1.4,325,"2024/12/28 01:00:00",0.3,9,21,1,121.451861,24.982528,5
板橋,新北市,31,,良好,0.6,0.26,33,28,13,6,10,10.4,0.3,3.2,358,"2024/12/28 01:00:00",0.3,9,21,0,121.458667,25.012972,6
新莊,新北市,48,,良好,0.7,0.17,36,30,11,12,4,6,1.3,5.3,12,"2024/12/28 01:00:00",0.3,14,21,0,121.4325,25.037972,7
菜寮,新北市,33,,良好,0.6,0.2,35,31,10,6,7,8.7,0.7,2.6,337,"2024/12/28 01:00:00",0.3,10,16,0,121.481028,25.06895,8
林口,新北市,34,,良好,1.2,0.18,39,37,11,4,2,2.7,0.1,5,31,"2024/12/28 01:00:00",0.2,9,21,1,121.36548982,25.07798949,9
淡水,新北市,36,,良好,0.5,0.18,38,39,15,7,2,3.1,0.6,,,"2024/12/28 01:00:00",0.2,10,21,0,121.449239,25.1645,10
士林,臺北市,35,,良好,1.3,0.2,35,38,7,6,4,5.6,0.9,1.2,206,"2024/12/28 01:00:00",0.2,5,13,1,121.51666356,25.10334003,11
中山,臺北市,38,,良好,0.7,0.32,30,24,8,7,10,11.6,0.9,0.8,103,"2024/12/28 01:00:00",0.4,11,19,0,121.526528,25.062361,12
萬華,臺北市,36,,良好,0.1,0.28,28,25,14,6,11,11.9,0.9,0.9,288,"2024/12/28 01:00:00",0.3,11,22,0,121.507972,25.046503,13
古亭,臺北市,42,,良好,1.7,0.24,32,30,13,9,8,9.4,0.9,0.9,49,"2024/12/28 01:00:00",0.2,12,23,1,121.529556,25.020608,14
松山,臺北市,37,,良好,1.5,0.22,33,26,28,6,7,8.4,1.1,1.1,18,"2024/12/28 01:00:00",0.2,11,28,1,121.578611,25.05,15
大同,臺北市,45,,良好,0.6,0.82,20,13,23,12,25,35.7,10.2,-,-,"2024/12/28 01:00:00",0.8,14,24,0,121.51342074,25.06331455,16
桃園,桃園市,27,,良好,0.8,0.2,36,29,12,5,4,5.2,0.4,3.4,25,"2024/12/28 01:00:00",0.3,7,21,0,121.30500531,24.9947107,17
大園,桃園市,38,,良好,0.9,0.17,39,35,16,7,3,3.8,0.6,7.7,24,"2024/12/28 01:00:00",0.2,11,30,1,121.20251473,25.06100357,18
觀音,桃園市,58,細懸浮微粒,普通,0.1,0.16,38,40,21,21,3,4.7,0.7,5.7,60,"2024/12/28 01:00:00",0.1,18,41,0,121.08283092,25.03556747,19
平鎮,桃園市,48,,良好,0.4,0.22,33,30,13,13,9,9.4,0.4,2.5,53,"2024/12/28 01:00:00",0.3,14,25,0,121.203986,24.952786,20
龍潭,桃園市,42,,良好,1.2,0.16,34,35,14,8,5,6,0.7,2.8,37,"2024/12/28 01:00:00",0.2,13,20,1,121.21645772,24.86400048,21
湖口,新竹縣,37,,良好,1.2,0.16,38,38,15,7,3,3.6,0.6,5.7,25,"2024/12/28 01:00:00",0.1,11,29,1,121.03886894,24.90009696,22
竹東,新竹縣,35,,良好,0.3,0.18,36,38,14,9,4,4.6,0.6,3.8,26,"2024/12/28 01:00:00",0.2,8,13,0,121.08895493,24.74091408,23
新竹,新竹市,32,,良好,2.1,0.2,37,35,15,0,4,5.2,0.5,4.1,35,"2024/12/28 01:00:00",0.2,8,27,2,120.97236752,24.8056356,24
頭份,苗栗縣,42,,良好,2.1,0.18,35,34,19,10,4,5.3,1,2.6,16,"2024/12/28 01:00:00",0.2,13,27,2,120.89869286,24.69690679,25
苗栗,苗栗縣,41,,良好,1.7,0.17,36,31,18,11,5,5.5,0.5,4,14,"2024/12/28 01:00:00",0.2,12,23,1,120.82011468,24.56499183,26
三義,苗栗縣,32,,良好,1,0.19,35,34,20,7,5,6.4,1,7.2,15,"2024/12/28 01:00:00",0.2,9,17,0,120.75956754,24.38248443,27
豐原,臺中市,42,,良好,0.1,0.23,31,27,11,12,4,5.3,0.9,2.8,10,"2024/12/28 01:00:00",0.3,12,17,0,120.74252414,24.25699731,28
沙鹿,臺中市,45,,良好,0.9,0.18,39,34,29,11,3,4.3,0.5,6.7,266,"2024/12/28 01:00:00",0.2,14,35,1,120.568794,24.225628,29
大里,臺中市,46,,良好,1.7,0.24,31,23,8,8,5,6.5,0.9,3.3,14,"2024/12/28 01:00:00",0.3,14,21,1,120.67844444,24.09961111,30
忠明,臺中市,44,,良好,1.4,0.25,32,26,23,7,5,7.5,1.6,1.6,14,"2024/12/28 01:00:00",0.3,13,26,1,120.641092,24.151958,31
西屯,臺中市,43,,良好,1.4,0.18,35,30,25,8,5,6.3,0.9,5.3,11,"2024/12/28 01:00:00",0.2,13,29,1,120.616917,24.162197,32
彰化,彰化縣,45,,良好,0.8,0.18,36,28,26,7,5,6.1,0.2,3.7,23,"2024/12/28 01:00:00",0.3,13,29,0,120.541519,24.066,33
線西,彰化縣,42,,良好,1.1,0.19,41,37,44,9,3,3.8,0.7,9,28,"2024/12/28 01:00:00",0.2,13,37,1,120.469061,24.131672,34
二林,彰化縣,45,,良好,1.7,0.2,38,34,30,9,4,5,0.5,7.5,28,"2024/12/28 01:00:00",0.2,14,39,1,120.409653,23.925175,35
南投,南投縣,56,細懸浮微粒,普通,1.4,0.24,28,21,19,10,7,8.7,0.9,2.4,337,"2024/12/28 01:00:00",0.3,17,33,1,120.685306,23.913,36
斗六,雲林縣,65,細懸浮微粒,普通,1.4,0.24,29,24,30,15,6,7.6,0.7,2.8,348,"2024/12/28 01:00:00",0.3,21,42,1,120.544994,23.711853,37
崙背,雲林縣,55,細懸浮微粒,普通,2,0.25,34,29,58,7,6,7.3,1,3.1,11,"2024/12/28 01:00:00",0.3,17,45,1,120.348742,23.757547,38
新港,嘉義縣,54,細懸浮微粒,普通,1.2,0.24,33,31,34,10,8,10.1,1.4,5.9,16,"2024/12/28 01:00:00",0.2,16,42,1,120.345531,23.554839,39
朴子,嘉義縣,48,,良好,2.1,0.2,33,30,31,10,6,7.3,1.2,2.6,14,"2024/12/28 01:00:00",0.3,14,44,1,120.2478,23.46538,40
臺西,雲林縣,51,細懸浮微粒,普通,1.7,0.18,40,41,33,12,2,2.1,0.1,10,23,"2024/12/28 01:00:00",0.2,15,38,1,120.19933333,23.702175,41
嘉義,嘉義市,64,細懸浮微粒,普通,2,0.26,27,21,21,13,9,10.5,0.7,3.4,17,"2024/12/28 01:00:00",0.4,20,41,4,120.44125148,23.46477865,42
新營,臺南市,69,細懸浮微粒,普通,2,0.33,26,26,34,15,10,10.4,0.2,3.3,17,"2024/12/28 01:00:00",0.3,22,45,2,120.31725,23.305633,43
善化,臺南市,64,細懸浮微粒,普通,1.1,0.25,26,26,38,14,8,10,1.3,4.3,8,"2024/12/28 01:00:00",0.3,20,52,1,120.29740529,23.11337642,44
安南,臺南市,70,細懸浮微粒,普通,2.1,0.37,24,27,36,16,11,12.1,0.7,3.4,340,"2024/12/28 01:00:00",0.4,23,49,2,120.2175,23.048197,45
臺南,臺南市,73,細懸浮微粒,普通,1.3,0.35,24,26,45,18,12,13.3,0.8,3.7,8,"2024/12/28 01:00:00",0.4,24,54,1,120.21947897,22.98928311,46
美濃,高雄市,88,細懸浮微粒,普通,0.6,0.39,14,13,68,27,8,9.3,0.4,0.7,295,"2024/12/28 01:00:00",0.4,30,53,0,120.530542,22.883583,47
橋頭,高雄市,95,細懸浮微粒,普通,1.4,0.3,19,16,47,23,14,14.7,0.4,2.6,5,"2024/12/28 01:00:00",0.5,33,60,2,120.305689,22.757506,48
仁武,高雄市,109,細懸浮微粒,對敏感族群不健康,1.5,0.36,16,12,62,29,15,16.1,0.9,2.9,339,"2024/12/28 01:00:00",0.5,38,66,2,120.332631,22.689056,49
鳳山,高雄市,114,細懸浮微粒,對敏感族群不健康,1.5,0.45,13,9,56,30,16,18.2,1.4,1.5,273,"2024/12/28 01:00:00",0.7,40,67,2,120.357422,22.628126,50
大寮,高雄市,118,細懸浮微粒,對敏感族群不健康,1.8,0.37,14,9,62,30,15,16.2,0.3,2.9,359,"2024/12/28 01:00:00",0.5,41,73,2,120.425311,22.56413611,51
林園,高雄市,125,細懸浮微粒,對敏感族群不健康,1.7,0.5,10,8,77,33,21,22,0.9,3,9,"2024/12/28 01:00:00",0.6,44,86,2,120.41175,22.4795,52
楠梓,高雄市,93,細懸浮微粒,普通,0.7,0.31,18,14,48,25,15,15.7,0.5,2.3,334,"2024/12/28 01:00:00",0.4,32,64,1,120.328289,22.733667,53
左營,高雄市,103,細懸浮微粒,對敏感族群不健康,1.4,0.37,18,15,52,26,17,18,0.4,3.1,0,"2024/12/28 01:00:00",0.5,36,66,1,120.292917,22.674861,54
前金,高雄市,103,細懸浮微粒,對敏感族群不健康,1.6,0.39,15,12,65,22,18,19.5,0.8,3.3,356,"2024/12/28 01:00:00",0.5,36,74,2,120.28676111,22.63390278,56
前鎮,高雄市,112,細懸浮微粒,對敏感族群不健康,2,0.46,13,10,55,31,21,22.3,1.3,3.8,21,"2024/12/28 01:00:00",0.7,39,72,2,120.30833356,22.6044507,57
小港,高雄市,120,細懸浮微粒,對敏感族群不健康,1.2,0.45,11,6,57,35,23,23.7,0.6,2.1,324,"2024/12/28 01:00:00",0.6,42,70,2,120.337736,22.565833,58
屏東,屏東縣,108,細懸浮微粒,對敏感族群不健康,1,0.38,13,11,63,35,11,12.1,0.6,1.4,304,"2024/12/28 01:00:00",0.4,38,63,0,120.488033,22.673081,59
潮州,屏東縣,112,細懸浮微粒,對敏感族群不健康,0.6,0.45,8,5,71,42,10,12.6,1.6,0.9,355,"2024/12/28 01:00:00",0.5,39,68,0,120.561175,22.523108,60
恆春,屏東縣,40,,良好,1.3,0.27,43,43,6,5,1,2.4,0.6,7.7,28,"2024/12/28 01:00:00",0.2,4,5,1,120.788928,21.958069,61
臺東,臺東縣,32,,良好,2.1,0.25,38,35,4,8,3,4.2,1.1,2,294,"2024/12/28 01:00:00",0.3,7,12,2,121.15045,22.755358,62
花蓮,花蓮縣,37,,良好,0.8,0.28,35,40,9,0,3,4.3,0.6,1.2,314,"2024/12/28 01:00:00",0.3,4,14,0,121.599769,23.971306,63
陽明,臺北市,40,,良好,1,0.18,41,43,1,1,1,2.6,0.9,,,"2024/12/28 01:00:00",0.1,1,4,0,121.529583,25.182722,64
宜蘭,宜蘭縣,34,,良好,1.2,0.21,36,33,11,9,1,2.8,0.9,0.2,203,"2024/12/28 01:00:00",0.2,10,14,0,121.746394,24.747917,65
冬山,宜蘭縣,31,,良好,1.7,0.19,32,34,6,4,3,3.9,0.6,1.3,302,"2024/12/28 01:00:00",0.2,7,14,1,121.792928,24.632203,66
三重,新北市,48,,良好,1.1,0.69,17,12,19,13,24,56.6,32.5,-,-,"2024/12/28 01:00:00",0.9,14,25,1,121.493806,25.072611,67
中壢,桃園市,44,,良好,0.8,0.26,31,22,13,12,8,10.4,1.7,1,3,"2024/12/28 01:00:00",0.5,13,24,1,121.221667,24.953278,68
竹山,南投縣,71,細懸浮微粒,普通,1,0.31,19,18,32,18,11,12.2,0.4,2.7,28,"2024/12/28 01:00:00",0.3,23,40,0,120.677306,23.756389,69
永和,新北市,39,,良好,0.6,0.28,30,29,14,10,9,11,1.8,0.5,248,"2024/12/28 01:00:00",0.3,12,22,0,121.516306,25.017,70
復興,高雄市,117,細懸浮微粒,對敏感族群不健康,1.3,0.42,12,10,58,34,20,21.7,1.1,1.1,148,"2024/12/28 01:00:00",0.7,41,70,1,120.312017,22.608711,71
埔里,南投縣,62,細懸浮微粒,普通,1.2,0.44,4,6,29,21,9,10.6,1.2,0.4,319,"2024/12/28 01:00:00",0.4,19,26,1,120.967903,23.968842,72
馬祖,連江縣,122,細懸浮微粒,對敏感族群不健康,2,0.42,44,49,85,47,9,9.8,0.5,2.4,330,"2024/12/28 01:00:00",0.3,43,77,1,119.952724,26.153736,75
金門,金門縣,93,細懸浮微粒,普通,2,0.43,42,46,66,39,10,10.8,0.5,2.1,43,"2024/12/28 01:00:00",0.3,32,53,1,118.312256,24.432133,77
馬公,澎湖縣,53,細懸浮微粒,普通,0.8,0.18,42,46,23,15,2,2.9,0.4,6.9,32,"2024/12/28 01:00:00",0.1,16,29,0,119.566158,23.569031,78
關山,臺東縣,35,,良好,1,0.22,38,38,9,5,1,2.7,0.8,2,24,"2024/12/28 01:00:00",0.2,8,13,0,121.161933,23.045083,80
麥寮,雲林縣,48,,良好,1.3,0.18,40,39,26,12,3,4,0.2,6.8,358,"2024/12/28 01:00:00",0.2,14,30,1,120.251825,23.753506,83
富貴角,新北市,45,,良好,0.1,0.13,41,43,44,5,1,1.6,0,11.7,24,"2024/12/28 01:00:00",0.1,12,45,0,121.53656894,25.29681695,84
大城,彰化縣,57,細懸浮微粒,普通,1.2,0.18,42,44,25,17,2,2.6,0.1,10.4,40,"2024/12/28 01:00:00",0.2,18,36,1,120.26964167,23.85493056,85
高雄（湖內）,高雄市,79,細懸浮微粒,普通,1.3,0.32,19,20,45,22,16,17,0.9,1.2,339,"2024/12/28 01:00:00",0.4,26,58,1,120.24535,22.87985556,202
臺南（麻豆）,臺南市,68,細懸浮微粒,普通,1.5,0.33,24,25,39,17,11,12,0.9,2.9,356,"2024/12/28 01:00:00",0.3,22,51,1,120.24583056,23.17904722,203
屏東（琉球）,屏東縣,126,細懸浮微粒,對敏感族群不健康,3.5,0.88,1,10,77,45,34,36.1,1.8,2.5,336,"2024/12/28 01:00:00",0.6,45,71,2,120.37722,22.35222,204
新北(樹林),新北市,31,,良好,0.3,0.22,27,25,14,7,7,8,0.2,0.1,222,"2024/12/28 01:00:00",0.3,9,21,0,121.38352778,24.94902778,311
花蓮（美崙）,花蓮縣,38,,良好,0.4,0.09,40,41,9,3,4,5.1,0.9,6.7,37,"2024/12/28 01:00:00",0.1,5,15,0,121.61575076,23.97709367,312
屏東(枋山),屏東縣,32,,良好,0.2,0.35,20,33,37,27,7,7.4,0.1,1,107,"2024/12/28 01:00:00",0.2,9,18,0,120.651472,22.260899,313
